,Access Order,ID,Name,Continent,Country,Web Link,Star Rating,Elevation Change (m),Base Elevation (m),Max Elevation (m),Total Piste Length (km),Blue Piste Length (km),Red Piste Length (km),Black Piste Length (km),Ski Lifts,Ski Pass Cost,Photo URL,Photo,Page Link
4541,4542,1410,Rotterhang – Schellerhau,Europe,Germany,https://www.skiresort.info/ski-resort/rotterhang-schellerhau/,1.8,54 m,750 m,804 m,0.4 km,0.4 km,0 km,0 km,1 ski lift,"€ 8,-",https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/24/
4542,4543,2604,Hallstatt,Europe,Austria,https://www.skiresort.info/ski-resort/hallstatt/,1.8,30 m,550 m,580 m,0.3 km,0.3 km,0 km,0 km,1 ski lift,"€ 4,-",https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/24/
4543,4544,2661,Laiernberg – Hettingen,Europe,Germany,https://www.skiresort.info/ski-resort/laiernberg-hettingen/,1.8,50 m,650 m,700 m,0.3 km,0.3 km,0 km,0 km,1 ski lift,"€ 8,-",https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/24/
4544,4545,28382,Szańce – Koniaków,Europe,Poland,https://www.skiresort.info/ski-resort/szance-koniakow/,,80 m,670 m,750 m,0.4 km,0.4 km,0 km,0 km,1 ski lift,"PLN 40,- / approx. € 9,-",https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/24/
4545,4546,11269,Blockhaus – Reichshof,Europe,Germany,https://www.skiresort.info/ski-resort/blockhaus-reichshof/,1.8,27 m,436 m,463 m,0.3 km,0.3 km,0 km,0 km,1 ski lift,"€ 10,-",https://www.skiresort.info/typo3temp/_processed_/a4/4e/e3/30/9bca28099e.jpg,Blockhaus_–_Reichshof_IDresort11269.jpg,https://www.skiresort.info/ski-resorts/page/24/
4546,4547,28627,Stich – Opfertshofen,Europe,Switzerland,https://www.skiresort.info/ski-resort/stich-opfertshofen/,1.8,65 m,600 m,665 m,0.3 km,0.3 km,0 km,0 km,1 ski lift,"SFr. 10,- / approx. € 9,-",https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/24/
4547,4548,3895,Berghalde – Penzberg,Europe,Germany,https://www.skiresort.info/ski-resort/berghalde-penzberg/,1.8,30 m,610 m,640 m,0.3 km,0.3 km,0 km,0 km,1 ski lift,"€ 3,-",https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/24/
4548,4549,10868,Băile Homorod,Europe,Romania,https://www.skiresort.info/ski-resort/baile-homorod/,,100 m,750 m,850 m,0.4 km,0.4 km,0 km,0 km,1 ski lift,"RON 70,- / approx. € 14,-",https://www.skiresort.info/typo3temp/_processed_/49/9b/b0/0d/63036b387b.jpg,Băile_Homorod_IDresort10868.jpg,https://www.skiresort.info/ski-resorts/page/24/
4549,4550,2307,Schweinsleite – Draisendorf,Europe,Germany,https://www.skiresort.info/ski-resort/schweinsleite-draisendorf/,1.8,50 m,377 m,427 m,0.3 km,0 km,0.3 km,0 km,1 ski lift,"€ 6,-",https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/24/
4550,4551,3269,Lauenhain (Ludwigsstadt),Europe,Germany,https://www.skiresort.info/ski-resort/lauenhain-ludwigsstadt/,1.8,40 m,620 m,660 m,0.4 km,0.4 km,0 km,0 km,1 ski lift,€ 7.50,https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/24/
4551,4552,30614,Kollerlift – Bischofswiesen,Europe,Germany,https://www.skiresort.info/ski-resort/kollerlift-bischofswiesen/,1.8,20 m,868 m,888 m,0.3 km,0.3 km,0 km,0 km,1 ski lift,"€ 10,-",https://www.skiresort.info/typo3temp/_processed_/bb/bf/f7/7a/1050402008.jpg,Kollerlift_–_Bischofswiesen_IDresort30614.jpg,https://www.skiresort.info/ski-resorts/page/24/
4552,4553,10987,Dömle – Deje (Forshaga),Europe,Sweden,https://www.skiresort.info/ski-resort/doemle-deje-forshaga/,,65 m,80 m,145 m,0.4 km,0.4 km,0 km,0 km,1 ski lift,"Skr 140,- / approx. € 14,-",https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/24/
4553,4554,30134,Kinsmen – Little Red River Park (Prince Albert),North America,Canada,https://www.skiresort.info/ski-resort/kinsmen-little-red-river-park-prince-albert/,1.8,11 m,427 m,438 m,0.3 km,0.3 km,0 km,0 km,2 ski lifts,"C$ 15,- / approx. € 10,-",https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/24/
4554,4555,2254,Deesbach,Europe,Germany,https://www.skiresort.info/ski-resort/deesbach/,1.8,71 m,659 m,730 m,0.4 km,0.4 km,0 km,0 km,1 ski lift,"€ 14,-",https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/24/
4555,4556,4724,Tragöß-Sankt Katharein (temporarily closed),Europe,Austria,https://www.skiresort.info/ski-resort/tragoess-sankt-katharein/,,60 m,750 m,810 m,0.4 km,0.4 km,0 km,0 km,1 ski lift,€ 13.50,https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/24/
4556,4557,27482,Svinec,Europe,Czech Republic,https://www.skiresort.info/ski-resort/svinec/,,122 m,388 m,510 m,0.3 km,0.3 km,0 km,0 km,2 ski lifts,"CZK 360,- / approx. € 14,-",https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/24/
4557,4558,2146,Chodzież,Europe,Poland,https://www.skiresort.info/ski-resort/chodziez/,,40 m,80 m,120 m,0.3 km,0.3 km,0 km,0 km,2 ski lifts,"PLN 60,- / approx. € 13,-",https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/24/
4558,4559,33605,Bristol Pit – Yellowknife,North America,Canada,https://www.skiresort.info/ski-resort/bristol-pit-yellowknife/,1.8,15 m,185 m,200 m,0.3 km,0.3 km,0 km,0 km,1 ski lift,"C$ 20,- / approx. € 13,-",https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/24/
4559,4560,5975,Trachselwald,Europe,Switzerland,https://www.skiresort.info/ski-resort/trachselwald/,1.8,30 m,685 m,715 m,0.5 km,0.5 km,0 km,0 km,1 ski lift,"SFr. 10,- / approx. € 9,-",https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/24/
4560,4561,604,Steinrückenlift – Ettenhausen (Schleching),Europe,Germany,https://www.skiresort.info/ski-resort/steinrueckenlift-ettenhausen-schleching/,1.8,70 m,610 m,680 m,0.3 km,0.3 km,0 km,0 km,1 ski lift,"€ 10,-",https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/24/
4561,4562,31395,Deilingen,Europe,Germany,https://www.skiresort.info/ski-resort/deilingen/,1.8,34 m,872 m,906 m,0.3 km,0.3 km,0 km,0 km,1 ski lift,€ 4.50,https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/24/
4562,4563,4933,Wehingen,Europe,Germany,https://www.skiresort.info/ski-resort/wehingen/,1.8,33 m,822 m,855 m,0.3 km,0.3 km,0 km,0 km,1 ski lift,"€ 6,-",https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/24/
4563,4564,28187,Sternberg – Linderhofe (Extertal),Europe,Germany,https://www.skiresort.info/ski-resort/sternberg-linderhofe-extertal/,1.8,49 m,298 m,347 m,0.4 km,0.4 km,0 km,0 km,2 ski lifts,"€ 3,-",https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/24/
4564,4565,1460,Salzburger Kopf – Stein-Neukirch/Rennerod,Europe,Germany,https://www.skiresort.info/ski-resort/salzburger-kopf-stein-neukirchrennerod/,1.8,50 m,604 m,654 m,0.3 km,0.3 km,0 km,0 km,2 ski lifts,"€ 11,-",https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/24/
4565,4566,4459,Schlösslihang – St. Gallen,Europe,Switzerland,https://www.skiresort.info/ski-resort/schloesslihang-st-gallen/,1.8,30 m,660 m,690 m,0.3 km,0.3 km,0 km,0 km,1 ski lift,"SFr. 16,- / approx. € 14,-",https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/24/
4566,4567,5716,Tranzlberg – Moosach (Falkenberg),Europe,Germany,https://www.skiresort.info/ski-resort/tranzlberg-moosach-falkenberg/,1.8,22 m,526 m,548 m,0.4 km,0.4 km,0 km,0 km,1 ski lift,"€ 8,-",https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/24/
4567,4568,11243,Eichholzkopf,Europe,Germany,https://www.skiresort.info/ski-resort/eichholzkopf/,1.8,56 m,552 m,608 m,0.3 km,0.3 km,0 km,0 km,1 ski lift,"€ 12,-",https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/24/
4568,4569,2978,Keyes Peak – Florence,North America,USA,https://www.skiresort.info/ski-resort/keyes-peak-florence/,,50 m,400 m,450 m,0.5 km,0.5 km,0 km,0 km,2 ski lifts,"US$ 12,- / approx. € 10,-",https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/24/
4569,4570,11287,Maiergschwendt (Ruhpolding),Europe,Germany,https://www.skiresort.info/ski-resort/maiergschwendt-ruhpolding/,1.8,40 m,710 m,750 m,0.5 km,0.5 km,0 km,0 km,2 ski lifts,"€ 13,-",https://www.skiresort.info/typo3temp/_processed_/33/36/6c/ca/8bd3758d14.jpg,Maiergschwendt_(Ruhpolding)_IDresort11287.jpg,https://www.skiresort.info/ski-resorts/page/24/
4570,4571,31520,Im Gelltal – Waldkappel,Europe,Germany,https://www.skiresort.info/ski-resort/im-gelltal-waldkappel/,1.8,47 m,266 m,313 m,0.3 km,0.3 km,0 km,0 km,1 ski lift,"€ 5,-",https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/24/
4571,4572,1974,Bottenwil – Piz Graben,Europe,Switzerland,https://www.skiresort.info/ski-resort/bottenwil-piz-graben/,1.8,30 m,600 m,630 m,0.3 km,0.3 km,0 km,0 km,1 ski lift,"SFr. 10,- / approx. € 9,-",https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/24/
4572,4573,4123,Rokuroshi Kogen,Asia,Japan,https://www.skiresort.info/ski-resort/rokuroshi-kogen/,1.8,26 m,510 m,536 m,0.3 km,0.3 km,0 km,0 km,2 ski lifts,"¥ 1500,- / approx. € 12,-",https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/24/
4573,4574,33300,Skarmoen,Europe,Norway,https://www.skiresort.info/ski-resort/skarmoen/,1.8,70 m,110 m,180 m,0.3 km,0.3 km,0 km,0 km,1 ski lift,"NOK 180,- / approx. € 18,-",https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/24/
4574,4575,2151,Chotouň,Europe,Czech Republic,https://www.skiresort.info/ski-resort/chotoun/,,90 m,350 m,440 m,0.4 km,0.4 km,0 km,0 km,3 ski lifts,"CZK 380,- / approx. € 15,-",https://www.skiresort.info/typo3temp/_processed_/e1/1a/a5/58/638d711642.jpg,Chotouň_IDresort2151.jpg,https://www.skiresort.info/ski-resorts/page/24/
4575,4576,32595,Büller Höhe – Usseln,Europe,Germany,https://www.skiresort.info/ski-resort/bueller-hoehe-usseln/,1.8,40 m,620 m,660 m,0.3 km,0.3 km,0 km,0 km,1 ski lift,"€ 17,-",https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/24/
4576,4577,34195,Ornahög,Europe,Sweden,https://www.skiresort.info/ski-resort/ornahoeg/,1.8,27 m,68 m,95 m,0.3 km,0.3 km,0 km,0 km,1 ski lift,"Skr 60,- / approx. € 6,-",https://www.skiresort.info/typo3temp/assets/_processed_/73/35/57/79/94c8fc01e7.jpg,Ornahög_IDresort34195.jpg,https://www.skiresort.info/ski-resorts/page/24/
4577,4578,3592,Kanapee – Mühlheim an der Donau,Europe,Germany,https://www.skiresort.info/ski-resort/kanapee-muehlheim-an-der-donau/,1.8,53 m,688 m,741 m,0.3 km,0.3 km,0 km,0 km,2 ski lifts,"€ 6,-",https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/24/
4578,4579,1420,Falkenstein,Europe,Germany,https://www.skiresort.info/ski-resort/falkenstein/,1.8,70 m,600 m,670 m,0.4 km,0.4 km,0 km,0 km,1 ski lift,"€ 8,-",https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/24/
4579,4580,31705,Steinbrunnenlift – Hintersteinbach,Europe,Germany,https://www.skiresort.info/ski-resort/steinbrunnenlift-hintersteinbach/,1.8,31 m,488 m,519 m,0.3 km,0.3 km,0 km,0 km,1 ski lift,"€ 9,-",https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/24/
4580,4581,11116,Holderbank – Skilift Engi,Europe,Switzerland,https://www.skiresort.info/ski-resort/holderbank-skilift-engi/,1.8,50 m,425 m,475 m,0.3 km,0.3 km,0 km,0 km,1 ski lift,"SFr. 10,- / approx. € 9,-",https://www.skiresort.info/typo3temp/assets/_processed_/35/59/9b/b4/4c0ba633d6.jpg,Holderbank_–_Skilift_Engi_IDresort11116.jpg,https://www.skiresort.info/ski-resorts/page/24/
4581,4582,27892,Plauberg – Falkenau,Europe,Germany,https://www.skiresort.info/ski-resort/plauberg-falkenau/,1.8,40 m,320 m,360 m,0.3 km,0.3 km,0 km,0 km,1 ski lift,"€ 12,-",https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/24/
4582,4583,31470,Affentäle – Tennenbronn (Schramberg),Europe,Germany,https://www.skiresort.info/ski-resort/affentaele-tennenbronn-schramberg/,1.8,26 m,711 m,737 m,0.3 km,0.3 km,0 km,0 km,1 ski lift,"€ 6,-",https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/24/
4583,4584,31230,Althütte – Waldmünchen,Europe,Germany,https://www.skiresort.info/ski-resort/althuette-waldmuenchen/,1.8,35 m,774 m,809 m,0.3 km,0.3 km,0 km,0 km,2 ski lifts,"€ 22,-",https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/24/
4584,4585,31435,Schäferkarren – Möhringen (Tuttlingen),Europe,Germany,https://www.skiresort.info/ski-resort/schaeferkarren-moehringen-tuttlingen/,1.8,65 m,678 m,743 m,0.3 km,0.3 km,0 km,0 km,1 ski lift,"€ 13,-",https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/24/
4585,4586,31530,Schwarzhorn – Waldstetten,Europe,Germany,https://www.skiresort.info/ski-resort/schwarzhorn-waldstetten/,1.8,30 m,566 m,596 m,0.3 km,0.3 km,0 km,0 km,2 ski lifts,"€ 13,-",https://www.skiresort.info/typo3temp/assets/_processed_/b4/49/97/7d/03f54c1524.jpg,Schwarzhorn_–_Waldstetten_IDresort31530.jpg,https://www.skiresort.info/ski-resorts/page/24/
4586,4587,4741,Hennenstein – Trochtelfingen,Europe,Germany,https://www.skiresort.info/ski-resort/hennenstein-trochtelfingen/,1.8,30 m,720 m,750 m,0.3 km,0.3 km,0 km,0 km,1 ski lift,"€ 7,-",https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/24/
4587,4588,11465,Luče,Europe,Slovenia,https://www.skiresort.info/ski-resort/luce/,1.8,70 m,525 m,595 m,0.3 km,0.3 km,0 km,0 km,1 ski lift,"€ 9,-",https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/24/
4588,4589,31465,Hesel – Zainingen (Römerstein),Europe,Germany,https://www.skiresort.info/ski-resort/hesel-zainingen-roemerstein/,1.8,29 m,808 m,837 m,0.3 km,0.3 km,0 km,0 km,1 ski lift,"€ 12,-",https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/24/
4589,4590,6096,Bad Häring,Europe,Austria,https://www.skiresort.info/ski-resort/bad-haering/,1.8,35 m,650 m,685 m,0.3 km,0.3 km,0 km,0 km,1 ski lift,€ 7.20,https://www.skiresort.info/typo3temp/_processed_/31/12/25/56/f680fadfa5.jpg,Bad_Häring_IDresort6096.jpg,https://www.skiresort.info/ski-resorts/page/24/
4590,4591,11501,Pod Lesom – Dolný Smokovec (Vysoké Tatry),Europe,Slovakia,https://www.skiresort.info/ski-resort/pod-lesom-dolny-smokovec-vysoke-tatry/,,50 m,874 m,924 m,0.4 km,0 km,0.4 km,0 km,2 ski lifts,"€ 12,-",https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/24/
4591,4592,28482,Jerikobakken – Oslo,Europe,Norway,https://www.skiresort.info/ski-resort/jerikobakken-oslo/,,40 m,230 m,270 m,0.4 km,0.4 km,0 km,0 km,1 ski lift,"NOK 200,- / approx. € 20,-",https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/24/
4592,4593,31420,Kreenheinstetten,Europe,Germany,https://www.skiresort.info/ski-resort/kreenheinstetten/,1.8,34 m,770 m,804 m,0.3 km,0.3 km,0 km,0 km,1 ski lift,€ 5.50,https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/24/
4593,4594,4445,Blatten – Speicher,Europe,Switzerland,https://www.skiresort.info/ski-resort/blatten-speicher/,1.8,35 m,900 m,935 m,0.3 km,0.3 km,0 km,0 km,1 ski lift,"SFr. 12,- / approx. € 11,-",https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/24/
4594,4595,27692,Rossa,Europe,Switzerland,https://www.skiresort.info/ski-resort/rossa/,1.8,50 m,1100 m,1150 m,0.4 km,0.4 km,0 km,0 km,2 ski lifts,"SFr. 15,- / approx. € 14,-",https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/24/
4595,4596,5752,Balsberg – Unterwössen,Europe,Germany,https://www.skiresort.info/ski-resort/balsberg-unterwoessen/,1.8,45 m,570 m,615 m,0.4 km,0.4 km,0 km,0 km,1 ski lift,"€ 7,-",https://www.skiresort.info/typo3temp/assets/_processed_/21/1d/d2/28/3e0fad76da.jpg,Balsberg_–_Unterwössen_IDresort5752.jpg,https://www.skiresort.info/ski-resorts/page/24/
4596,4597,3303,Makino Kogen,Asia,Japan,https://www.skiresort.info/ski-resort/makino-kogen/,1.8,9 m,187 m,196 m,0.3 km,0.3 km,0 km,0 km,1 ski lift,"¥ 1000,- / approx. € 8,-",https://www.skiresort.info/typo3temp/_processed_/c9/9d/d9/9b/8389e60a4b.jpg,Makino_Kogen_IDresort3303.jpg,https://www.skiresort.info/ski-resorts/page/24/
4597,4598,11603,Velflink – Pernink,Europe,Czech Republic,https://www.skiresort.info/ski-resort/velflink-pernink/,,60 m,850 m,910 m,0.3 km,0.3 km,0 km,0 km,4 ski lifts,"CZK 280,- / approx. € 11,-",https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/24/
4598,4599,31255,Monte Sperlasso – Velburg,Europe,Germany,https://www.skiresort.info/ski-resort/monte-sperlasso-velburg/,1.8,36 m,520 m,556 m,0.3 km,0.3 km,0 km,0 km,1 ski lift,"€ 7,-",https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/24/
4599,4600,1876,Kraimoos – Bernau am Chiemsee,Europe,Germany,https://www.skiresort.info/ski-resort/kraimoos-bernau-am-chiemsee/,1.8,12 m,570 m,582 m,0.5 km,0.5 km,0 km,0 km,1 ski lift,"€ 5,-",https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/24/
4600,4601,28362,Brudarebacken – Göteborg,Europe,Sweden,https://www.skiresort.info/ski-resort/brudarebacken-goeteborg/,1.8,42 m,68 m,110 m,0.3 km,0.3 km,0 km,0 km,2 ski lifts,"Skr 150,- / approx. € 15,-",https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/24/
4601,4602,29298,Mugi – Netstal,Europe,Switzerland,https://www.skiresort.info/ski-resort/mugi-netstal/,1.8,90 m,460 m,550 m,0.4 km,0.4 km,0 km,0 km,2 ski lifts,"SFr. 10,- / approx. € 9,-",https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/24/
4602,4603,3812,Osmelakowa Dolina – Spalona,Europe,Poland,https://www.skiresort.info/ski-resort/osmelakowa-dolina-spalona/,,50 m,750 m,800 m,0.4 km,0.4 km,0 km,0 km,1 ski lift,"PLN 55,- / approx. € 12,-",https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/24/
4603,4604,28177,Gerichtsberg – Gelenau,Europe,Germany,https://www.skiresort.info/ski-resort/gerichtsberg-gelenau/,1.8,40 m,480 m,520 m,0.3 km,0.3 km,0 km,0 km,1 ski lift,"€ 9,-",https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/24/
4604,4605,11437,Separadorgiu,Europe,Italy,https://www.skiresort.info/ski-resort/separadorgiu/,1.8,90 m,1460 m,1550 m,0.4 km,0.4 km,0 km,0 km,1 ski lift,"€ 10,-",https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/24/
4605,4606,5896,Långberget,Europe,Sweden,https://www.skiresort.info/ski-resort/laangberget/,,40 m,590 m,630 m,0.5 km,0.5 km,0 km,0 km,1 ski lift,"Skr 125,- / approx. € 12,-",https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/24/
4606,4607,2706,Hirtstein,Europe,Germany,https://www.skiresort.info/ski-resort/hirtstein/,1.8,30 m,857 m,887 m,0.3 km,0.3 km,0 km,0 km,1 ski lift,"€ 4,-",https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/24/
4607,4608,11265,Hahn – Reichshof,Europe,Germany,https://www.skiresort.info/ski-resort/hahn-reichshof/,1.8,32 m,385 m,417 m,0.3 km,0.3 km,0 km,0 km,1 ski lift,"€ 6,-",https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/24/
4608,4609,29363,Monkova dolina – Ždiar,Europe,Slovakia,https://www.skiresort.info/ski-resort/monkova-dolina-zdiar/,,100 m,850 m,950 m,0.3 km,0.3 km,0 km,0 km,1 ski lift,"€ 16,-",https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/24/
4609,4610,1673,Albstadt-Pfeffingen,Europe,Germany,https://www.skiresort.info/ski-resort/albstadt-pfeffingen/,1.8,45 m,765 m,810 m,0.4 km,0.4 km,0 km,0 km,1 ski lift,"€ 6,-",https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/24/
4610,4611,5210,Bügls – S-chanf,Europe,Switzerland,https://www.skiresort.info/ski-resort/buegls-s-chanf/,1.8,30 m,1670 m,1700 m,0.5 km,0.5 km,0 km,0 km,1 ski lift,"SFr. 10,- / approx. € 9,-",https://www.skiresort.info/typo3temp/_processed_/0d/d4/4e/e3/9b5b480478.jpg,Bügls_–_S-chanf_IDresort5210.jpg,https://www.skiresort.info/ski-resorts/page/24/
4611,4612,5100,Rabenstein (Zwiesel),Europe,Germany,https://www.skiresort.info/ski-resort/rabenstein-zwiesel/,1.8,41 m,722 m,763 m,0.4 km,0.4 km,0 km,0 km,1 ski lift,"€ 16,-",https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/24/
4612,4613,6103,Holzhausen – Schlossberg,Europe,Germany,https://www.skiresort.info/ski-resort/holzhausen-schlossberg/,1.8,30 m,500 m,530 m,0.4 km,0.4 km,0 km,0 km,1 ski lift,"€ 6,-",https://www.skiresort.info/typo3temp/assets/_processed_/02/21/12/2b/c341464254.jpg,Holzhausen_–_Schlossberg_IDresort6103.jpg,https://www.skiresort.info/ski-resorts/page/24/
4613,4614,31475,Jusi – Kohlberg,Europe,Germany,https://www.skiresort.info/ski-resort/jusi-kohlberg/,1.8,34 m,516 m,550 m,0.4 km,0.4 km,0 km,0 km,2 ski lifts,"€ 6,-",https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/24/
4614,4615,4131,Hohenberg – Rosenberg,Europe,Germany,https://www.skiresort.info/ski-resort/hohenberg-rosenberg/,1.8,20 m,550 m,570 m,0.3 km,0.3 km,0 km,0 km,1 ski lift,"€ 13,-",https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/24/
4615,4616,27537,Soesterberg (dry slopes),Europe,Netherlands,https://www.skiresort.info/ski-resort/soesterberg/,,10 m,15 m,25 m,0.3 km,0.3 km,0 km,0 km,3 ski lifts,,https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/24/
4616,4617,4710,Tomaszów Lubelski,Europe,Poland,https://www.skiresort.info/ski-resort/tomaszow-lubelski/,,40 m,260 m,300 m,0.4 km,0.4 km,0 km,0 km,1 ski lift,,https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/24/
4617,4618,4265,Šelenburk – Krnov,Europe,Czech Republic,https://www.skiresort.info/ski-resort/selenburk-krnov/,,58 m,360 m,418 m,0.4 km,0.4 km,0 km,0 km,1 ski lift,,https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/24/
4618,4619,1856,Nowy Gierałtów,Europe,Poland,https://www.skiresort.info/ski-resort/nowy-gieraltow/,,100 m,630 m,730 m,0.5 km,0.5 km,0 km,0 km,1 ski lift,,https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/24/
4619,4620,28742,Andreasberg – Auerbach/Erzg.,Europe,Germany,https://www.skiresort.info/ski-resort/andreasberg-auerbacherzg/,1.8,90 m,510 m,600 m,0.4 km,0.4 km,0 km,0 km,1 ski lift,,https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/24/
4620,4621,3057,Aschaulift – Koppl,Europe,Austria,https://www.skiresort.info/ski-resort/aschaulift-koppl/,1.8,15 m,765 m,780 m,0.5 km,0.5 km,0 km,0 km,2 ski lifts,,https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/24/
4621,4622,34115,Kajevall,Europe,Sweden,https://www.skiresort.info/ski-resort/kajevall/,1.8,56 m,350 m,406 m,0.3 km,0.3 km,0 km,0 km,1 ski lift,,https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/24/
4622,4623,27887,Schlechteberg – Ebersbach/Sachsen,Europe,Germany,https://www.skiresort.info/ski-resort/schlechteberg-ebersbachsachsen/,1.8,40 m,420 m,460 m,0.3 km,0 km,0.3 km,0 km,1 ski lift,,https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/24/
4623,4624,33815,Puoltikasvaara,Europe,Sweden,https://www.skiresort.info/ski-resort/puoltikasvaara/,1.8,10 m,392 m,402 m,0.3 km,0.3 km,0 km,0 km,1 ski lift,,https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/24/
4624,4625,6105,Hohensolms (Hohenahr),Europe,Germany,https://www.skiresort.info/ski-resort/hohensolms-hohenahr/,1.8,55 m,365 m,420 m,0.3 km,0.3 km,0 km,0 km,1 ski lift,,https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/24/
4625,4626,5874,Lent,Europe,Switzerland,https://www.skiresort.info/ski-resort/lent/,1.8,30 m,740 m,770 m,0.5 km,0.5 km,0 km,0 km,1 ski lift,,https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/24/
4626,4627,11011,Rabenberg – Breitenbrunn,Europe,Germany,https://www.skiresort.info/ski-resort/rabenberg-breitenbrunn/,1.8,70 m,790 m,860 m,0.5 km,0 km,0.5 km,0 km,1 ski lift,,https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/24/
4627,4628,2966,Keinukallio,Europe,Finland,https://www.skiresort.info/ski-resort/keinukallio/,,20 m,40 m,60 m,0.5 km,0.5 km,0 km,0 km,4 ski lifts,,https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/24/
4628,4629,10935,Rhêmes Notre Dame,Europe,Italy,https://www.skiresort.info/ski-resort/rhemes-notre-dame/,1.8,20 m,1740 m,1760 m,0.5 km,0.5 km,0 km,0 km,,,https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/24/
4629,4630,31210,Güttersbach,Europe,Germany,https://www.skiresort.info/ski-resort/guettersbach/,1.8,26 m,344 m,370 m,0.3 km,0.3 km,0 km,0 km,1 ski lift,,https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/24/
